model,key_suffix,purpose,calls,ok,failed,usage_missing_calls,input_tokens,output_tokens,total_tokens,input_tokens_missing_calls,output_tokens_missing_calls,total_tokens_missing_calls
gemini-3.1-flash-live-preview,...pYF1,example_gemini31_flash_live,1,1,0,0,150,27,177,0,0,0
qwen3.5-omni-flash,...pYF1,example_qwen35_omni_flash,2,2,0,0,38,54,92,0,0,0
